,STOCK_SYMBOL,STOCK CODE,SECTOR,SUBSECTOR,MKT,OPEN,LAST,CHG%,CHG,VOL,MKT CAP,BETA_5Y,INTERCEPT_5Y,R-SQUARED_5Y,P-VALUE_5Y,BETA STANDARD ERROR_5Y,NORMALITY TEST_5Y,annualized_standard_deviation_of_equity_5Y,annualized_excess_return_of_equity_5Y
289,AYER,2305,PROPERTY,PROPERTY,MAIN,5.91,5.91,0.17,0.01,1000.0,442382000.0,0.27611980514551465,-0.02894651842606872,0.024488999891211595,7.730435102321563e-08,0.051058159584478215,normal,0.5658309021705042,0.005830945043808988
290,LGMS,0249,TECHNOLOGY,DIGITAL SERVICES,ACE,0.945,0.97,1.04,0.01,12052000.0,442320000.0,,,,,,,,
291,WASEONG,5142,ENERGY,"ENERGY INFRASTRUCTURE, EQUIPMENT & SERVICES",MAIN,0.575,0.57,0.0,0.0,91000.0,441686000.0,1.6546809088503789,0.026500553770261753,0.1437756272805997,3.3107121213525266e-41,0.11830482323490502,normal,1.5943114247421972,0.015711336545551013
292,KNM,7164,ENERGY,OTHER ENERGY RESOURCES,MAIN,0.12,0.12,4.35,0.005,6358000.0,441392000.0,2.045257895907109,0.04240773746824783,0.12422467907525328,1.8312351762698757e-35,0.15910269090544177,normal,1.9846013463725867,-0.0674488579438508
293,IRIS,0010,TECHNOLOGY,SOFTWARE,ACE,0.14,0.135,-3.57,-0.005,4069000.0,440493000.0,1.8007062075850755,0.0328394137842571,0.12589860457123758,5.968749314073206e-36,0.13901137770982921,normal,2.003324477354193,-0.09943057594251226
294,HARBOUR,2062,TRANSPORTATION & LOGISTICS,TRANSPORTATION & LOGISTICS SERVICES,MAIN,1.08,1.09,1.87,0.02,98000.0,436436000.0,0.6201155900836531,-0.014321348717899196,0.031127497766711393,1.2927835527239366e-09,0.10136100245685715,normal,1.9665675842592467,0.09286552155890337
295,RUBEREX,7803,INDUSTRIAL PRODUCTS & SERVICES,"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",MAIN,0.48,0.475,-1.04,-0.005,7396000.0,434864000.0,1.0682625358814473,0.004327596448648684,0.033475999011584184,3.037604632713076e-10,0.16817234635504513,normal,2.347916726089173,-0.1303245959456687
296,EVERGRN,5101,INDUSTRIAL PRODUCTS & SERVICES,WOOD & WOOD PRODUCTS,MAIN,0.52,0.51,-1.92,-0.01,4662000.0,431676000.0,1.8437163078315255,0.03419466397737076,0.17264297661779324,6.375172328759143e-50,0.11825054628373219,normal,1.8772020708687804,0.08992671438742139
297,TANCO,2429,PROPERTY,PROPERTY,MAIN,0.24,0.245,4.26,0.01,7976000.0,428089000.0,1.7206410796821212,0.031296978360969195,0.05451701620375632,6.493478820428632e-16,0.20993659260056388,normal,3.3255268381054166,0.16661346953666012
298,BAHVEST,0098,CONSUMER PRODUCTS & SERVICES,AGRICULTURAL PRODUCTS,ACE,0.34,0.345,1.47,0.005,166000.0,427724000.0,1.0393860416424643,0.0023406420415474916,0.048731400869195904,2.3954500332584962e-14,0.13454298228430137,normal,1.3598617110549232,-0.04018295593591903
299,PERTAMA,8532,CONSUMER PRODUCTS & SERVICES,PERSONAL GOODS,MAIN,0.935,0.985,4.79,0.045,11024000.0,426860000.0,2.0578959276369333,0.04460184388473624,0.049853585464964226,1.1912342613015075e-14,0.2632131077380127,normal,1.6108837724146965,0.08364626298950206
300,PESTECH,5219,INDUSTRIAL PRODUCTS & SERVICES,INDUSTRIAL ENGINEERING,MAIN,0.44,0.43,-2.27,-0.01,3681000.0,426655000.0,1.0443306856448844,0.001292889729683,0.08981324427539507,1.2073795180778693e-25,0.0974025081024362,normal,1.570183581703462,-0.041799863868469345
301,SSTEEL,5665,INDUSTRIAL PRODUCTS & SERVICES,METALS,MAIN,0.69,0.71,2.9,0.02,8000.0,423383000.0,1.3362280574015808,0.013386974585991203,0.08601240860772387,1.3972027656293068e-24,0.12761661445835035,normal,1.8658015953024387,0.0520472612501397
302,3A,0012,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,MAIN,0.865,0.86,-0.58,-0.005,151000.0,423120000.0,0.9314311360226897,-0.0027522008924419084,0.149139268133397,8.362867347648136e-43,0.06518100096697006,normal,0.9614949415264374,0.008347269975197413
303,PARAMON,1724,PROPERTY,PROPERTY,MAIN,0.68,0.68,0.0,0.0,88000.0,422910000.0,0.5818559986531835,-0.016485341746572384,0.04352933290796422,6.063282700501944e-13,0.07990930903706388,normal,0.6230469363422594,-0.003583157671136483
304,SIGN,7246,CONSUMER PRODUCTS & SERVICES,HOUSEHOLD GOODS,MAIN,1.47,1.43,-2.72,-0.04,1594000.0,422206000.0,1.3090931878529026,0.01388409206864577,0.0489500411362577,2.09071874130088e-14,0.16905683546015715,normal,2.4206064731699186,0.1748977985475877
305,OCK,0172,TELECOMMUNICATIONS & MEDIA,TELECOMMUNICATIONS SERVICE PROVIDERS,MAIN,0.39,0.4,3.9,0.015,2373000.0,421803000.0,0.9796636508876192,-0.0011464310752098902,0.1185217671790729,8.218873718634448e-34,0.0782745841077954,normal,1.0967580192029114,-0.01364241098835306
306,SAMCHEM,5147,INDUSTRIAL PRODUCTS & SERVICES,CHEMICALS,MAIN,0.765,0.77,0.65,0.005,238000.0,418880000.0,1.1725804822100026,0.008254529773816098,0.10270272993670587,2.7869035891961544e-29,0.10154461040876799,normal,1.3536654756849944,0.0577802212394225
307,HEXIND,0161,INDUSTRIAL PRODUCTS & SERVICES,"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",ACE,0.37,0.365,-1.35,-0.005,4131000.0,418780000.0,0.6310877648398244,-0.012170258669502318,0.003212654842832035,0.052897325003750856,0.3256836983875303,normal,2.3775331343100636,0.01122571612150658
308,FAVCO,7229,INDUSTRIAL PRODUCTS & SERVICES,INDUSTRIAL ENGINEERING,MAIN,1.72,1.77,1.14,0.02,87000.0,415796000.0,0.5630794561017327,-0.0175108202125628,0.04851360714884868,2.7430935121285555e-14,0.07305942117901759,normal,1.258907321127871,-0.005090774583709656
309,SPRITZER,7103,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,MAIN,1.99,1.98,-0.5,-0.01,10000.0,415786000.0,0.29926811512491813,-0.02793858091288634,0.04124281546102077,2.500514112257811e-12,0.04227441912760492,normal,0.6082075774438339,0.006705069359521865
310,MHCARE,03005,HEALTH CARE,HEALTH CARE PROVIDERS,LEAP,0.0,0.67,0.0,0.0,0.0,413196000.0,,,,,,,1.0303873775142196,0.08179706997743974
311,BOILERM,0168,INDUSTRIAL PRODUCTS & SERVICES,"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",MAIN,0.775,0.795,2.58,0.02,29000.0,410220000.0,0.839459329927712,-0.006070378185296439,0.0765727668968714,5.879348389070429e-22,0.08540845517955888,normal,1.2774167686006275,0.04101264424234241
312,MAYBULK,5077,TRANSPORTATION & LOGISTICS,TRANSPORTATION & LOGISTICS SERVICES,MAIN,0.42,0.405,-3.57,-0.015,1343000.0,405000000.0,1.5662363020527938,0.02271203235632225,0.15372899569541493,3.528108472257522e-44,0.10766416055057453,normal,1.7112299314074362,0.005639439713815975
313,TAMBUN,5191,PROPERTY,PROPERTY,MAIN,0.915,0.915,0.0,0.0,101000.0,401970000.0,1.082952876597095,0.0035992087414094542,0.19218506801717652,5.425524866555786e-56,0.06504931295766639,normal,0.9009736455707175,0.0756400755629798
314,ELKDESA,5228,FINANCIAL SERVICES,OTHER FINANCIALS,MAIN,1.32,1.32,0.0,0.0,129000.0,400233000.0,0.4413267152829278,-0.021883045817566955,0.08602585603774404,1.3851732161780388e-24,0.042145354248611225,normal,0.4195845449595278,-0.0019100845785828824
315,CETECH,03024,INDUSTRIAL PRODUCTS & SERVICES,INDUSTRIAL SERVICES,LEAP,0.0,1.15,0.0,0.0,0.0,398029000.0,,,,,,,1.4128734967184533,0.027957192578941914
316,KKB,9466,INDUSTRIAL PRODUCTS & SERVICES,INDUSTRIAL ENGINEERING,MAIN,1.36,1.36,0.0,0.0,2000.0,392669000.0,0.9001605193148046,-0.0031453739264108646,0.10876840013227229,5.211296292312291e-31,0.07549199741852351,normal,0.8796975924241606,-0.006562234300557357
317,KRONO,0176,TECHNOLOGY,DIGITAL SERVICES,ACE,0.535,0.545,1.87,0.01,1288000.0,391498000.0,1.536963063709705,0.021666029710339867,0.15888814053061617,9.851516112185165e-46,0.10360521229234991,normal,1.288333168421044,-0.0030231456517975097
318,ATAIMS,8176,INDUSTRIAL PRODUCTS & SERVICES,"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",MAIN,0.315,0.325,3.17,0.01,7506000.0,391421000.0,0.9079310800618788,-0.0036624566156638894,0.029161660027556966,4.342571388014337e-09,0.15348193241250546,normal,2.7426142504279136,-0.15560940408210167
319,UNITRAD,0247,INDUSTRIAL PRODUCTS & SERVICES,BUILDING MATERIALS,ACE,0.255,0.25,-1.96,-0.005,3874000.0,390625000.0,,,,,,,,
320,KAREX,5247,CONSUMER PRODUCTS & SERVICES,PERSONAL GOODS,MAIN,0.365,0.37,1.37,0.005,61000.0,389780000.0,0.8977952207786916,-0.004327008224779674,0.02683831070886899,1.817568977946305e-08,0.1583905402388038,normal,1.8967394847138277,-0.06624880593264759
321,HARISON,5008,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,MAIN,0.0,5.68,0.0,0.0,0.0,389019000.0,0.43588710733893254,-0.02185519593350915,0.06513556156034667,8.273152611959399e-19,0.04838116257546944,normal,0.7056262411674744,0.07007200454898399
322,AEMULUS,0181,TECHNOLOGY,TECHNOLOGY EQUIPMENT,ACE,0.58,0.58,0.87,0.005,3131000.0,387342000.0,1.7972891409819656,0.03294906692870472,0.11213172997047542,5.674705654959394e-32,0.14817160810907046,normal,1.7567800899711352,-0.01182639595517676
323,KPS,5843,INDUSTRIAL PRODUCTS & SERVICES,DIVERSIFIED INDUSTRIALS,MAIN,0.72,0.72,0.7,0.005,2000.0,386917000.0,1.1170034195770542,0.005457598726077907,0.06641308643723971,3.695041884806999e-19,0.12269930019590612,normal,1.5553847872827649,0.04381191573879484
324,VSTECS,5162,TECHNOLOGY,TECHNOLOGY EQUIPMENT,MAIN,1.05,1.06,0.0,0.0,26000.0,381600000.0,0.8924099180278607,-0.0033083215700695015,0.07065489058408256,2.5261626623642088e-20,0.09482411987812323,normal,1.1325806912205452,0.002723796640886178
325,PTARAS,9598,CONSTRUCTION,CONSTRUCTION,MAIN,0.0,2.3,0.0,0.0,0.0,381489000.0,0.6605729488195287,-0.013845618655926518,0.09596078824922345,2.2557064479411346e-27,0.05940247672486049,normal,0.7330717811464226,0.000485183563990077
326,SENFONG,5308,INDUSTRIAL PRODUCTS & SERVICES,INDUSTRIAL SERVICES,MAIN,0.735,0.735,0.0,0.0,758000.0,381436000.0,,,,,,,,
327,PA,7225,INDUSTRIAL PRODUCTS & SERVICES,METALS,MAIN,0.29,0.29,0.0,0.0,3384000.0,380077000.0,1.7232599104194923,0.031082430449785745,0.07898012534177454,1.265849544322314e-22,0.1724103818649061,normal,1.7884719118354866,0.06750798523087642
328,TDM,2054,PLANTATION,PLANTATION,MAIN,0.215,0.22,2.33,0.005,776000.0,379034000.0,1.763305107819936,0.030599557229423882,0.16067238644857232,2.8437795335948574e-46,0.11807545735982015,normal,1.5449279600775894,0.00032886288863842594
329,CHGP,7187,TRANSPORTATION & LOGISTICS,TRANSPORTATION EQUIPMENT,MAIN,0.85,0.845,-0.59,-0.005,114000.0,378598000.0,0.0785208608852374,-0.03621067787211681,0.0007926250930637556,0.33658957317651383,0.08168005031180858,normal,1.4483450795707482,0.10312292647025867
330,ABLEGLOB,7167,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,MAIN,1.21,1.21,0.0,0.0,167000.0,375670000.0,1.0468120916970922,0.0021767745891843743,0.14059296951337266,2.9061415985926303e-40,0.07582692020047224,normal,0.8654654516230254,-0.002721346793552737
331,APM,5015,INDUSTRIAL PRODUCTS & SERVICES,AUTO PARTS,MAIN,1.86,1.86,-0.53,-0.01,0.0,374976000.0,0.5317593111833931,-0.01899926220408111,0.0665344335995607,3.4225414716665176e-19,0.058354998151242767,normal,0.941774411472977,0.02428487345322594
332,SURIA,6521,TRANSPORTATION & LOGISTICS,TRANSPORTATION & LOGISTICS SERVICES,MAIN,1.08,1.08,0.0,0.0,85000.0,373486000.0,0.6222662936769243,-0.015183015130918083,0.0896794383568523,1.3162815584220886e-25,0.0580850076410428,normal,0.7855788276796589,0.025853811297986695
333,JCY,5161,TECHNOLOGY,TECHNOLOGY EQUIPMENT,MAIN,0.18,0.175,-2.78,-0.005,260000.0,372181000.0,1.5756414945378399,0.02294734930857195,0.10051590732589338,1.1627974202425203e-28,0.1380936763980355,normal,1.7078343551753652,-0.1332520810734903
334,HARNLEN,7501,PLANTATION,PLANTATION,MAIN,1.72,1.76,1.73,0.03,2476000.0,371770000.0,0.9965250683000966,0.001719442898733034,0.03429223963312873,1.8357153443788854e-10,0.15493523714725968,normal,2.3788900378656748,0.171548338196728
335,PLS,9695,PLANTATION,PLANTATION,MAIN,0.0,0.93,0.0,0.0,0.0,371680000.0,0.18711958800860276,-0.03224833114334095,0.0028807438499681456,0.06681964829677188,0.10199468003523231,normal,1.2274776166748007,0.048822165621814406
336,POHUAT,7088,CONSUMER PRODUCTS & SERVICES,HOUSEHOLD GOODS,MAIN,1.35,1.33,-1.48,-0.02,74000.0,370139000.0,0.8770734568156816,-0.004677059542057792,0.10412886119418442,1.095932503942688e-29,0.07537203112265443,normal,0.9038915033726495,0.008466860809117627
337,CCK,7035,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,MAIN,0.585,0.585,0.0,0.0,79000.0,368970000.0,0.9084579140113342,-0.0030402909050294344,0.07287963262165534,6.159706590097769e-21,0.0949307306578096,normal,0.7420322710560647,0.02111965818779815
338,PLENITU,5075,PROPERTY,PROPERTY,MAIN,0.955,0.965,0.0,0.0,13000.0,368180000.0,0.7770841710064461,-0.008964644917793904,0.09248806378176497,2.1431598858658772e-26,0.0713162385509488,normal,0.9981173771052966,-0.0006297031464268521
339,INNATURE,5295,CONSUMER PRODUCTS & SERVICES,PERSONAL GOODS,MAIN,0.505,0.52,2.97,0.015,134000.0,367058000.0,,,,,,,1.1874616446161759,0.036747347636291394
340,ARREIT,5127,REAL ESTATE INVESTMENT TRUSTS,REAL ESTATE INVESTMENT TRUSTS,MAIN,0.64,0.64,0.0,0.0,104000.0,366861000.0,0.40222086662569145,-0.023849701227542427,0.08995491391410688,1.1018670751911552e-25,0.03748181761443778,normal,0.4452990940731561,0.019306168424748194
341,BPPLAS,5100,INDUSTRIAL PRODUCTS & SERVICES,PACKAGING MATERIALS,MAIN,1.3,1.29,0.0,0.0,16000.0,363176000.0,0.8023920531386586,-0.007061172118214255,0.07395578588083014,3.109102333395044e-21,0.08318661245865573,normal,1.3945777074727728,0.04178691171886317
342,IMASPRO,7222,INDUSTRIAL PRODUCTS & SERVICES,CHEMICALS,MAIN,4.19,4.5,6.89,0.29,20000.0,360000000.0,0.02231568029719663,-0.03808754428067407,7.12976021623838e-05,0.773233775920444,0.0774273193366248,normal,1.2937801857239428,0.08532893891036863
343,CORAZA,0240,INDUSTRIAL PRODUCTS & SERVICES,INDUSTRIAL ENGINEERING,ACE,0.8,0.84,3.7,0.03,13104000.0,359798000.0,,,,,,,,
344,SCICOM,0099,INDUSTRIAL PRODUCTS & SERVICES,INDUSTRIAL SERVICES,MAIN,1.01,1.01,0.0,0.0,626000.0,359008000.0,1.1943386908720464,0.007842190370345746,0.13236862012528278,7.685444699743873e-38,0.08958589638965939,normal,0.9517630677356779,0.020278943282511896
345,TNLOGIS,8397,TRANSPORTATION & LOGISTICS,TRANSPORTATION & LOGISTICS SERVICES,MAIN,0.695,0.68,0.0,0.0,345000.0,358921000.0,0.62169314222695,-0.015594214571002834,0.042393841381031055,1.225702904312237e-12,0.0865675634742327,normal,1.4591919673628044,0.06325250325164067
346,CAB,7174,CONSUMER PRODUCTS & SERVICES,AGRICULTURAL PRODUCTS,MAIN,0.51,0.51,0.0,0.0,88000.0,357965000.0,1.012685893611934,0.0003434526614018024,0.09154015503290881,3.956864380004136e-26,0.09346711630279513,normal,1.2139681082789362,0.021623581222544708
347,RGTBHD,9954,INDUSTRIAL PRODUCTS & SERVICES,CHEMICALS,MAIN,0.36,0.375,2.74,0.01,1352000.0,354863000.0,1.6912595814371965,0.03137192007425007,0.03887704033326242,1.0809824265861875e-11,0.2463713400652446,normal,1.7490204640694333,-0.020873019727492448
348,SERBADK,5279,ENERGY,"ENERGY INFRASTRUCTURE, EQUIPMENT & SERVICES",MAIN,0.1,0.095,0.0,0.0,4703000.0,354083000.0,1.8519650271411014,0.03336547491810652,0.1292317560867163,6.364746370076597e-37,0.14084339551755462,normal,2.733039502364288,-0.3162741131108655
349,ASIAFLE,7129,CONSUMER PRODUCTS & SERVICES,CONSUMER SERVICES,MAIN,1.8,1.8,2.27,0.04,44000.0,350600000.0,0.6743013648909904,-0.01318570015358764,0.11441098442071265,1.2571423638284264e-32,0.05496336651083912,normal,0.7719742645620731,-0.0011538779578215141
350,CENGILD,0243,HEALTH CARE,HEALTH CARE PROVIDERS,ACE,0.42,0.42,-1.18,-0.005,2505000.0,343896000.0,,,,,,,,
351,AJIYA,7609,INDUSTRIAL PRODUCTS & SERVICES,BUILDING MATERIALS,MAIN,1.13,1.12,-0.88,-0.01,339000.0,341135000.0,1.194920668948494,0.00865996521362039,0.11236221828117858,4.8733034638997305e-32,0.09839745099163633,normal,1.7831495101121142,0.08766912933193804
