,STOCK_SYMBOL,STOCK CODE,SECTOR,SUBSECTOR,MKT,OPEN,LAST,CHG%,CHG,VOL,MKT CAP,BETA_5Y,INTERCEPT_5Y,R-SQUARED_5Y,P-VALUE_5Y,BETA STANDARD ERROR_5Y,NORMALITY TEST_5Y,annualized_return_of_equity_5Y,annualized_standard_deviation_of_equity_5Y,SKEWNESS_5Y,PEARSON_KURTOSIS_5Y,FISHER_KURTOSIS_5Y,SHARPE_RATIO_5Y,TREYNOR_RATIO_5Y
577,BIOHLDG,0179,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,ACE,0.1,0.1,0.0,0.0,138000.0,137807000.0,1.148964514098079,3.150856836282005e-05,0.05482465819965907,7.237220827016833e-17,0.13575047627933134,not normal,-0.010206223746881404,0.9387089458844662,16.995485558050095,429.0624951392014,426.0624951392014,-0.011038430660644817,-0.009018445289240801
578,AURORA,03037,CONSUMER PRODUCTS & SERVICES,PERSONAL GOODS,LEAP,0.0,0.22,0.0,0.0,0.0,137731000.0,,,,,,,,,,,,,
579,PCCS,6068,CONSUMER PRODUCTS & SERVICES,PERSONAL GOODS,MAIN,0.645,0.63,-2.33,-0.015,7133000.0,137221000.0,1.3765488914544617,0.001538180482747768,0.074589096180502,1.3398378639151642e-22,0.1379709949220935,not normal,-0.004807908078216627,0.6666409891283023,-0.5270405032806015,23.29545949233259,20.29545949233259,-0.007445623689443734,-0.003605798509461872
580,KHIND,7062,CONSUMER PRODUCTS & SERVICES,HOUSEHOLD GOODS,MAIN,3.05,3.25,2.2,0.07,86000.0,136627000.0,0.32733641774262306,0.0006775410268877156,0.008636181753220534,0.0010669207995315775,0.0997967715293533,not normal,-5.551115123125783e-16,0.47003637545895777,1.1267743706281648,48.195276824133565,45.195276824133565,-0.00033114429205577265,-0.00047550426519973025
581,SALUTE,0183,CONSUMER PRODUCTS & SERVICES,PERSONAL GOODS,MAIN,0.32,0.32,-3.03,-0.01,349000.0,136480000.0,1.6462807943137787,-4.339758707378442e-05,0.11444899239679737,1.6920916923484611e-34,0.13030804732570314,not normal,-1.1102230246251565e-16,1.4058662603844936,25.846774617171057,819.3285125780059,816.3285125780059,-0.00011071455882923373,-9.454636373635978e-05
582,HLT,0188,INDUSTRIAL PRODUCTS & SERVICES,"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",ACE,0.185,0.185,0.0,0.0,416000.0,136251000.0,1.6858762884132237,0.0016985069850395328,0.04775782762281088,7.696336763344704e-15,0.21421192671916517,not normal,-0.00781345035014358,0.9914636892345959,1.8173504311086708,13.542812739898723,10.542812739898723,-0.008037712625751267,-0.004726978051536332
583,TWRREIT,5111,REAL ESTATE INVESTMENT TRUSTS,REAL ESTATE INVESTMENT TRUSTS,MAIN,0.48,0.485,1.04,0.005,17000.0,136042000.0,0.39677469825084755,-0.0005168714484810685,0.03394770853354515,6.592226079208312e-11,0.06022898943665137,not normal,-0.013703819549519713,0.5270841332017938,22.386592003541054,679.524917328402,676.524917328402,-0.02629460562229614,-0.03493032563167319
584,GUH,3247,INDUSTRIAL PRODUCTS & SERVICES,"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",MAIN,0.49,0.48,-2.04,-0.01,1287000.0,134530000.0,1.2033838051096448,0.00035122581948072334,0.06736067778534524,1.7191226742093007e-20,0.12741610376427698,not normal,-0.020851642826737238,0.6491210974917544,3.7567775869774698,59.62565457626576,56.62565457626576,-0.03236267126534945,-0.017456851754469514
585,AMLEX,03011,TECHNOLOGY,SEMICONDUCTORS,LEAP,0.0,0.5,0.0,0.0,0.0,134057000.0,0.04059512054535659,0.001396328200573607,3.0293437113621042e-05,0.8466573415929467,0.20987441692739583,not normal,0.0,0.9189240490134212,8.857063787597102,225.19600723778152,222.19600723778152,-0.00016938272859261025,-0.0038342012709965106
586,MOBILIA,0229,CONSUMER PRODUCTS & SERVICES,HOUSEHOLD GOODS,ACE,0.195,0.19,-2.56,-0.005,480000.0,133000000.0,,,,,,,,,,,,,
587,NWP,5025,INDUSTRIAL PRODUCTS & SERVICES,WOOD & WOOD PRODUCTS,MAIN,0.24,0.245,2.08,0.005,24954000.0,132059000.0,0.46247977023128745,0.0016009638160119177,0.004438127499069382,0.019113910416403094,0.1971031216200845,not normal,-0.029247752612484468,0.8759874232898632,0.8083933559844682,10.481319071927853,7.481319071927853,-0.0335660098461781,-0.06357770516226256
588,PESONA,8311,CONSTRUCTION,CONSTRUCTION,MAIN,0.0,0.19,0.0,0.0,0.0,132047000.0,0.6630649476610525,0.0010758299431265262,0.006936795781408877,0.00337398933681507,0.22575198711877617,not normal,-0.0057807287806905805,0.9918742091908503,26.471905129812374,847.747513423616,844.747513423616,-0.005985011595698827,-0.008952936909758678
589,MYTECH,7692,INDUSTRIAL PRODUCTS & SERVICES,METALS,MAIN,0.59,0.59,0.0,0.0,1135000.0,132023000.0,0.5228610690106914,0.0022185827784594234,0.00865249844739468,0.0010552686785051263,0.15925571303518002,not normal,2.220446049250313e-16,0.7890217631855945,-1.4794825940296121,68.76084214086609,65.76084214086609,-0.00019726941645135414,-0.0002976887590532353
590,EFFICEN,0064,INDUSTRIAL PRODUCTS & SERVICES,INDUSTRIAL SERVICES,MAIN,0.185,0.185,0.0,0.0,94000.0,131189000.0,1.2527406896369402,0.0017347772717052885,0.026475595074756077,8.643762831863135e-09,0.21616145821231023,not normal,-1.1102230246251565e-16,0.9592203086621538,6.971582724351967,114.23352724828638,111.23352724828638,-0.00016226706355754937,-0.00012424747122765135
591,YB,5048,INDUSTRIAL PRODUCTS & SERVICES,BUILDING MATERIALS,MAIN,0.455,0.45,-1.1,-0.005,1652000.0,131090000.0,0.3033643574594582,0.0002780613679807122,0.007874190471198052,0.0017843094304522925,0.09689725875199508,not normal,2.220446049250313e-16,0.42593326487963384,2.458746266561043,26.60280212531273,23.60280212531273,-0.00036543251167533595,-0.0005130789394460814
592,VIS,0120,TECHNOLOGY,SEMICONDUCTORS,ACE,0.765,0.75,-1.96,-0.015,1403000.0,131032000.0,1.939580174139984,0.001387688388294461,0.11106911004540883,1.8048656582155e-33,0.15613907795565266,not normal,6.661338147750939e-16,0.7256427782436505,0.38630328883156734,8.347708766864722,5.347708766864722,-0.00021449929284396985,-8.024925438290393e-05
593,ADVCON,5281,CONSTRUCTION,CONSTRUCTION,MAIN,0.265,0.265,0.0,0.0,26000.0,130580000.0,0.8018301443585486,-0.0006517155551997315,0.05792647691431791,9.255702043063582e-18,0.09201375236298638,not normal,-7.771561172376096e-16,1.3028966323118865,29.93905796162195,997.9051565080792,994.9051565080792,-0.00011946447548632592,-0.00019411824796953397
594,WANGZNG,7203,CONSUMER PRODUCTS & SERVICES,HOUSEHOLD GOODS,MAIN,0.0,0.815,0.0,0.0,0.0,130400000.0,0.3802318738612304,-0.00010003661864552641,0.01843307261005521,1.647217939856357e-06,0.07895436274630512,not normal,-1.1102230246251565e-16,0.39995493887397926,4.991124870017792,82.80936306442455,79.80936306442455,-0.0003891684979052531,-0.00040935511589483385
595,ASIABRN,7722,CONSUMER PRODUCTS & SERVICES,PERSONAL GOODS,MAIN,0.0,0.56,0.0,0.0,0.0,130283000.0,0.29918682142835057,0.000544965165124467,0.0032046262882620387,0.04652554212768467,0.15014929326949858,not normal,-2.220446049250313e-16,0.6697851191992916,3.211703727127844,45.8604124359678,42.8604124359678,-0.00023238775889431476,-0.0005202430442905052
596,PLB,7055,PROPERTY,PROPERTY,MAIN,0.0,1.15,0.0,0.0,0.0,129254000.0,0.5303810610890062,-1.1845654486248447e-05,0.030601091921514414,5.861013489711067e-10,0.0849449041072256,not normal,-2.220446049250313e-16,0.42673326916925597,3.1074725238574357,66.84208946502986,63.84208946502986,-0.0003647474289841441,-0.0002934679878498987
597,HOHUP,5169,CONSTRUCTION,CONSTRUCTION,MAIN,0.26,0.26,0.0,0.0,5000.0,128664000.0,1.1616890958633386,-0.00020086422983141159,0.09765678534965282,1.9954538273780454e-29,0.10048265472295373,not normal,-1.1102230246251565e-16,0.8931544090023719,22.026580856312243,661.3253063648467,658.3253063648467,-0.00017426982526485012,-0.00013398581715678298
598,ROHAS,9741,INDUSTRIAL PRODUCTS & SERVICES,INDUSTRIAL ENGINEERING,MAIN,0.27,0.27,0.0,0.0,38000.0,127618000.0,1.5796777011772085,-0.0004233003206594851,0.13967809121532515,2.7194126513511503e-42,0.1115581630578856,not normal,-4.440892098500626e-16,1.8150854182671097,30.792780924570316,1036.7949196369186,1033.7949196369186,-8.575346439635235e-05,-9.853267073132284e-05
599,LEBTECH,9628,CONSTRUCTION,CONSTRUCTION,MAIN,0.0,0.935,0.0,0.0,0.0,127612000.0,-0.20544659785537753,-0.0002138266341429896,0.0033652055352616397,0.04135635873478081,0.10060688448957911,not normal,0.0,0.5186705919452163,6.01969895390788,121.38792755005612,118.38792755005612,-0.000300093865371305,0.0007576171346523405
600,PMCORP,4081,CONSUMER PRODUCTS & SERVICES,"TRAVEL, LEISURE & HOSPITALITY",MAIN,0.165,0.165,-2.94,-0.005,144000.0,127604000.0,0.6739623843912054,0.0006573332098759657,0.022284797024502454,1.3302081668979793e-07,0.12702933426894633,not normal,4.440892098500626e-16,0.5624854645821705,0.7317700176774412,10.323018582821966,7.323018582821966,-0.00027671801778280557,-0.00023094740358754333
601,TOMEI,7230,CONSUMER PRODUCTS & SERVICES,RETAILERS,MAIN,0.92,0.92,-0.54,-0.005,181000.0,127512000.0,0.5426114559498652,0.0008052910746868551,0.011985367759246315,0.00011424824627168358,0.14018820849096353,not normal,0.00657952934455186,0.6181732223063094,2.231733313669835,29.283039340474144,26.283039340474144,0.010391714247657134,0.0118388202300582
602,BOXPAK,6297,INDUSTRIAL PRODUCTS & SERVICES,PACKAGING MATERIALS,MAIN,0.0,1.06,0.0,0.0,0.0,127250000.0,0.43651038746006743,0.0005060313978673849,0.010513088138732234,0.000303751693657794,0.12050386551988479,not normal,0.0,0.5304071980440866,2.5122283958382137,38.41504693114015,35.41504693114015,-0.00029345352658341077,-0.00035657768351618404
603,HIGHTEC,7033,INDUSTRIAL PRODUCTS & SERVICES,INDUSTRIAL ENGINEERING,MAIN,1.04,1.04,0.0,0.0,311000.0,126710000.0,0.5336492987679727,0.001696483870903335,0.011838753174513737,0.000125902899730259,0.13873415401485623,not normal,2.220446049250313e-16,0.6902970362854847,-1.6359471557744387,70.94191751279607,67.94191751279607,-0.00022548244394702714,-0.0002916706967485707
604,MUIPROP,3913,PROPERTY,PROPERTY,MAIN,0.165,0.165,0.0,0.0,25000.0,126070000.0,0.8342443525440154,0.0004780757368950389,0.02469039426545981,2.7691294286286374e-08,0.14919938564711824,not normal,4.440892098500626e-16,0.7268992292117634,4.988368780040336,61.850180925037684,58.850180925037684,-0.00021412852914922287,-0.00018657586631083188
605,PARAGON,9407,CONSUMER PRODUCTS & SERVICES,HOUSEHOLD GOODS,MAIN,1.5,1.5,2.04,0.03,21000.0,125744000.0,0.17014589313943992,0.001921609609857193,0.0007983529322297862,0.3207316897202673,0.17128411983120545,not normal,2.220446049250313e-16,0.8131997753011682,-0.7609968247143761,36.32036366216011,33.32036366216011,-0.00019140421273898645,-0.0009148023494371433
606,APB,5568,INDUSTRIAL PRODUCTS & SERVICES,INDUSTRIAL ENGINEERING,MAIN,1.04,1.11,6.73,0.07,1365000.0,125291000.0,0.2650377197782779,0.00055334808664542,0.0043928658733297975,0.019737764089435762,0.1135387833256239,not normal,2.220446049250313e-16,0.5038065576776423,0.7448036159818485,17.04501556519528,14.045015565195278,-0.00030894767132156394,-0.0005872743808739845
607,PWRWELL,0217,INDUSTRIAL PRODUCTS & SERVICES,"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",ACE,0.22,0.215,-2.27,-0.005,89000.0,124819000.0,1.0167529787798293,0.0005740769531951157,0.07254624646460733,5.300362614553202e-22,0.10344765081092495,not normal,0.004608485792222616,0.470314049153565,2.7132683767695345,31.438115193844308,28.438115193844308,0.009467792717324147,0.0043794668148157785
