,STOCK_SYMBOL,STOCK CODE,SECTOR,SUBSECTOR,MKT,OPEN,LAST,CHG%,CHG,VOL,MKT CAP,BETA_5Y,INTERCEPT_5Y,R-SQUARED_5Y,P-VALUE_5Y,BETA STANDARD ERROR_5Y,SKEWNESS_5Y,PEARSON_KURTOSIS_5Y,FISHER_KURTOSIS_5Y,NORMALITY TEST_5Y,annualized_standard_deviation_of_equity_5Y,annualized_return_of_equity_5Y,SHARPE_RATIO_5Y,TREYNOR_RATIO_5Y
866,NIHSIN,7215,CONSUMER PRODUCTS & SERVICES,HOUSEHOLD GOODS,MAIN,0.085,0.09,0.0,0.0,77000.0,51263000.0,1.5695200644554077,7.695855896529312e-05,0.07420709486110241,8.232893111650028e-22,0.1603677842111798,-0.27722350621008457,53.70044272485171,50.70044272485171,not normal,2.1959619491679465,-0.17400784350020604,-0.07958351580911402,-0.11134765107858573
867,BCMALL,0187,INDUSTRIAL PRODUCTS & SERVICES,INDUSTRIAL SERVICES,ACE,0.0,0.025,0.0,0.0,0.0,50853000.0,1.159191460008085,-0.0003842088005457844,0.039396803668200774,4.236963307062967e-12,0.16558185357113847,-0.6891107355199757,39.234141793734906,36.234141793734906,not normal,2.947292468950547,-0.2254363356545972,-0.07674530676378781,-0.19512813237136312
868,CHINAETF-MYR,0829EA,EXCHANGE TRADED FUND-EQUITY,EQUITY FUND,ETF,5.19,5.26,0.96,0.05,4000.0,50831000.0,0.8120006026630152,0.0001996800635316625,0.033235042205567916,2.0971302991699167e-10,0.12668778169837797,14.049780825183854,493.9648573226113,490.9648573226113,not normal,2.7598928568823755,-0.07364436869490898,-0.026957168828852796,-0.09162419023893141
869,DYNAFNT,03046,TECHNOLOGY,SOFTWARE,LEAP,0.0,0.47,0.0,0.0,0.0,50760000.0,,,,,,,,,,,,,
870,NYLEX,4944,INDUSTRIAL PRODUCTS & SERVICES,CHEMICALS,MAIN,0.24,0.26,8.33,0.02,4654000.0,50528000.0,1.2218401316044576,-0.0024770207354092777,0.011696438726845974,0.00017765888282217856,0.3248993092452345,-17.175081511858963,405.21808082246895,402.21808082246895,not normal,7.026046220760966,,,
871,SMILE,03023,HEALTH CARE,HEALTH CARE PROVIDERS,LEAP,0.0,0.2,0.0,0.0,0.0,50081000.0,0.30322276560833705,0.0001747726836207896,0.0027839777489567876,0.06802275299748002,0.16601204361507785,21.727346702674463,647.9790407362075,644.9790407362075,not normal,1.4544388660807344,-0.026554893796919332,-0.01877660411270768,-0.09006389325598363
872,METFSID,0825EA,EXCHANGE TRADED FUND-EQUITY,EQUITY FUND,ETF,0.0,0.845,0.0,0.0,0.0,49855000.0,0.27967159643369716,-0.0001830313545198577,0.0067039871368772,0.004588509374142467,0.09847753490356456,5.598639789460598,171.86761736609546,168.86761736609546,not normal,1.094472255118792,0.0314360952418522,0.02803320605044301,0.10970569280356621
873,KNUSFOR,5035,INDUSTRIAL PRODUCTS & SERVICES,INDUSTRIAL SERVICES,MAIN,0.0,0.495,0.0,0.0,0.0,49324000.0,0.7461270768341743,-5.767566509259122e-05,0.020929477290131313,4.995360270533027e-07,0.1476238898637558,6.3768190569786665,97.38055481089948,94.38055481089948,not normal,1.553827972614412,-0.020624633478126597,-0.013759027931366758,-0.02865351377737517
874,SMRT,0117,TECHNOLOGY,DIGITAL SERVICES,ACE,0.11,0.11,0.0,0.0,54000.0,49228000.0,0.2864428291078404,0.00010712472128763024,0.002508129453271557,0.0832786727382901,0.16524704810438115,5.72467299317111,101.37108853051679,98.37108853051679,not normal,2.1645093309857457,0.02338511737676341,0.01045529721456228,0.0790056027921346
875,PINEAPP,0006,TECHNOLOGY,DIGITAL SERVICES,ACE,1.01,1.01,0.0,0.0,1000.0,48985000.0,-2.3641706612187705,0.001324418769331041,0.036313817144577744,2.9889823625363595e-11,0.3523114321321881,22.84052687027661,674.2973586956441,671.2973586956441,not normal,7.305944794732168,0.32117206189862424,0.04385709746014533,-0.13553062735996793
