,STOCK SYMBOL,STOCK CODE,SECTOR,SUBSECTOR,MKT,OPEN,LAST,CHG%,CHG,VOL,MKT CAP,BETA_5Y,INTERCEPT_5Y,R-SQUARED_5Y,P-VALUE_5Y,BETA STANDARD ERROR_5Y,NORMALITY TEST_5Y,annualized_standard_deviation_of_equity_5Y,annualized_excess_return_of_equity_5Y
554,XL,7121,CONSUMER PRODUCTS & SERVICES,CONSUMER SERVICES,MAIN,0.705,0.7,0.0,0.0,3275000.0,152718000.0,-0.045171522146711336,-0.041254685738426174,0.00011935072033939759,0.7144631252160432,0.12343259408110285,normal,2.4161046997556612,0.048360965720043225
555,RHONEMA,5278,CONSUMER PRODUCTS & SERVICES,AGRICULTURAL PRODUCTS,MAIN,0.0,0.69,0.0,0.0,0.0,152646000.0,0.4117808650875897,-0.023366530310115277,0.03811941748070219,4.0549667658999704e-11,0.06175287538735239,normal,1.235502602368834,0.03148105390081568
556,FLBHD,5197,INDUSTRIAL PRODUCTS & SERVICES,WOOD & WOOD PRODUCTS,MAIN,1.36,1.36,0.74,0.01,24000.0,151961000.0,0.3919174828959874,-0.024140137676520363,0.025537321976534074,7.192461747134112e-08,0.07227583833372056,normal,1.4193528785523217,0.05110345526081872
557,BIOHLDG,0179,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,ACE,0.11,0.11,0.0,0.0,1823000.0,151588000.0,3.6343425839530648,0.10657556131418892,0.27907682524495914,8.486213869842648e-82,0.1743861704864634,normal,1.5733019636333192,-0.14692077206527232
558,WTHORSE,5009,INDUSTRIAL PRODUCTS & SERVICES,BUILDING MATERIALS,MAIN,0.0,0.63,0.0,0.0,0.0,151200000.0,4.419662308623736,0.1374479055775984,0.3720394019633365,1.7020640606717761e-115,0.1714211434055462,normal,1.693844627145916,-0.10337432381247913
559,DOMINAN,7169,INDUSTRIAL PRODUCTS & SERVICES,WOOD & WOOD PRODUCTS,MAIN,0.915,0.91,-1.62,-0.015,8000.0,150369000.0,0.6590614202758083,-0.013272162029422878,0.06948420889325979,2.5403722246307043e-19,0.07200261618900056,normal,1.7325466021489906,0.03827947727559344
560,CHHB,5738,PROPERTY,PROPERTY,MAIN,0.51,0.5,-3.85,-0.02,1111000.0,149994000.0,4.277439779936785,0.13261350461233032,0.33101422783986423,4.731693208784995e-100,0.18154010639209056,normal,2.4436652306659314,-0.12326633771563333
561,MYTECH,7692,INDUSTRIAL PRODUCTS & SERVICES,METALS,MAIN,0.635,0.67,0.75,0.005,2374000.0,149924000.0,-1.8653623185023245,-0.11229378414896359,0.07465355522392085,1.0774665881328327e-20,0.19606212433893896,normal,4.624491473942354,0.277091272676218
562,PELIKAN,5231,CONSUMER PRODUCTS & SERVICES,CONSUMER SERVICES,MAIN,0.25,0.245,0.0,0.0,431000.0,148993000.0,1.9799710676156241,0.04021954845701815,0.13006422008644325,7.405194033969725e-36,0.15287169885488278,normal,2.797503107153968,0.06524054340165986
563,MYCRON,5087,INDUSTRIAL PRODUCTS & SERVICES,METALS,MAIN,0.45,0.455,-1.09,-0.005,306000.0,148811000.0,1.641561293652865,0.026434647151254986,0.10053910563221087,1.1385480983621487e-27,0.1465832374360899,normal,2.568746575878162,0.07779534222410245
564,BOXPAK,6297,INDUSTRIAL PRODUCTS & SERVICES,PACKAGING MATERIALS,MAIN,0.0,1.22,0.0,0.0,0.0,146457000.0,0.3959695080067846,-0.023827254034751878,0.015962458813293515,2.1559404110001685e-05,0.09281565936043269,normal,1.8547213657670834,0.04042501671946486
565,MBRIGHT,2097,CONSUMER PRODUCTS & SERVICES,"TRAVEL, LEISURE & HOSPITALITY",MAIN,0.08,0.075,-6.25,-0.005,265000.0,146051000.0,2.66117855457402,0.06784639642564273,0.2106103349479643,1.2421280466954391e-59,0.15380960795535353,normal,2.2521390175842644,-0.013271031002375366
566,ARBB,7181,TECHNOLOGY,SOFTWARE,MAIN,0.12,0.12,0.0,0.0,2706000.0,145972000.0,5.143778262685948,0.16889309319308,0.2623982287329289,3.268898779985529e-76,0.2574638956891802,normal,2.0566255330385412,-0.09703217262661079
567,MYETFDJ,0821EA,EXCHANGE TRADED FUND-EQUITY,EQUITY FUND,ETF,1.06,1.06,0.0,0.0,0.0,145750000.0,,,,,,,,
568,METROD,6149,INDUSTRIAL PRODUCTS & SERVICES,METALS,MAIN,1.21,1.21,0.83,0.01,8000.0,145200000.0,0.9215887371971682,-0.002872000284234316,0.13783088618848663,4.7006703105422297e-38,0.06881192165796632,normal,1.2930007402114205,-0.02389141463846567
569,ARTRONIQ,0038,INDUSTRIAL PRODUCTS & SERVICES,CHEMICALS,ACE,0.465,0.455,-3.19,-0.015,1131000.0,144611000.0,130.30423919334646,5.234154962290507,0.39548617143952364,8.842870284025146e-125,4.809496191077697,normal,4.037844594957253,0.11842673402735748
570,AWC,7579,INDUSTRIAL PRODUCTS & SERVICES,INDUSTRIAL SERVICES,MAIN,0.45,0.45,0.0,0.0,185000.0,144609000.0,3.446398242207585,0.0985742456755849,0.4663723321085101,3.3323278228631526e-155,0.1100580496490952,normal,1.3925180328021336,0.019460993735239462
