SUBSECTOR,SECTOR,BETA_5Y,INTERCEPT_5Y,annualized_excess_return_of_equity_5Y,annualized_standard_deviation_of_equity_5Y
PERSONAL GOODS,CONSUMER PRODUCTS & SERVICES,0.887123094584863,-0.003665907562874332,-0.011190400362165478,2.1534447019873526
PHARMACEUTICALS,HEALTH CARE,0.6862692400224473,-0.01175253543795778,-0.013845323485865218,1.1350966368457658
PLANTATION,PLANTATION,0.8288478931462459,-0.006420650027436052,0.02979134219622311,1.2433256393617387
PROPERTY,PROPERTY,0.6845384297925609,-0.01243051503636989,-0.0036903839579100267,1.6347567485586991
REAL ESTATE INVESTMENT TRUSTS,REAL ESTATE INVESTMENT TRUSTS,0.36985195641245283,-0.0251310609175318,0.009464142060098213,0.5370276565615042
RETAILERS,CONSUMER PRODUCTS & SERVICES,0.6483131270016761,-0.013883651907399215,0.010498549386651845,1.2116458720257965
SEMICONDUCTORS,TECHNOLOGY,0.9614611089225397,-0.0003772265840490183,0.020867401736858356,1.9015889896033131
SOFTWARE,TECHNOLOGY,1.3756133357008034,0.016143418727182484,-0.06596874762278154,3.0537623451356155
SPECIAL PURPOSE ACQUISITION COMPANY,SPECIAL PURPOSE ACQUISITION COMPANY,-0.00859531275146341,-0.04024398581334879,0.0,0.0
TECHNOLOGY EQUIPMENT,TECHNOLOGY,1.3023212749251718,0.013273567725225331,-0.04774885936427845,2.49224288559704
TELECOMMUNICATIONS EQUIPMENT,TELECOMMUNICATIONS & MEDIA,0.8994047399442693,-0.002672126136441372,-0.063351952820837,3.691169064412159
TELECOMMUNICATIONS SERVICE PROVIDERS,TELECOMMUNICATIONS & MEDIA,0.9635109327132624,-0.0014887502660269195,-0.07146597518695723,1.6080836866832933
TRANSPORTATION & LOGISTICS SERVICES,TRANSPORTATION & LOGISTICS,0.8784402207866772,-0.004402125221223618,0.008031592354285598,2.0318044834921185
TRANSPORTATION EQUIPMENT,TRANSPORTATION & LOGISTICS,0.7837737074555815,-0.00841042959127108,-0.006012730953780299,1.7740074451838042
"TRAVEL, LEISURE & HOSPITALITY",CONSUMER PRODUCTS & SERVICES,0.9578821066403904,-0.0010468772986642603,-0.01098139530477571,2.1314678755865275
WOOD & WOOD PRODUCTS,INDUSTRIAL PRODUCTS & SERVICES,0.8915980195304083,-0.003775225220040544,0.007202150798733565,2.191043112753758
